Facilities,Amount,Comments,Sentiment
Entrance,19212,The service was perfect and absolutely amazing.,Positive
Room,6086,Madumi yung area nung dumating kami.,Negative
Event,24550,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,22777,"Everything was superb, clean, and well-maintained.",Positive
Entrance,8663,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,14985,"Standard amenities, fine experience for the price.",Neutral
Reservation,3521,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,10387,The facilities are fine but could be better.,Neutral
Room,8825,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,24339,The service was perfect and absolutely amazing.,Positive
Event,5783,Rude staff and very slow service at reception.,Negative
Entrance,21122,Great value for money and a relaxing vibe.,Positive
Event,9385,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,8859,The facilities are fine but could be better.,Neutral
Room,16080,"Everything was superb, clean, and well-maintained.",Positive
Entrance,15009,"Excellent facility, highly recommend to everyone!",Positive
Entrance,8213,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,9987,"Terrible and awful experience, would not go back.",Negative
Entrance,20978,"Everything was superb, clean, and well-maintained.",Positive
Reservation,3861,"Disappointing stay, a total waste of money.",Negative
Entrance,11670,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,13509,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,8126,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,14811,Good location but service was just standard.,Neutral
Hall Rental,15202,Sulit na sulit ang booking namin.,Positive
Event,26420,Walang kupas ang ganda ng pool area.,Positive
Room,17131,Good location but service was just standard.,Neutral
Hall Rental,4936,"Disappointing stay, a total waste of money.",Negative
Event,28600,Mabait at magalang ang mga staff dito.,Positive
Entrance,21228,"Beautiful view and very friendly, helpful staff.",Positive
Event,25512,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,20445,Walang kupas ang ganda ng pool area.,Positive
Event,18389,"Everything was superb, clean, and well-maintained.",Positive
Entrance,24715,Mabait at magalang ang mga staff dito.,Positive
Room,26260,The service was perfect and absolutely amazing.,Positive
Event,2755,"Terrible and awful experience, would not go back.",Negative
Entrance,15980,Medyo okay naman ang experience namin.,Neutral
Room,9532,"Disappointing stay, a total waste of money.",Negative
Hall Rental,4575,The water was cloudy and the area was messy.,Negative
Room,8974,"Terrible and awful experience, would not go back.",Negative
Room,3563,"Disappointing stay, a total waste of money.",Negative
Reservation,23920,Great value for money and a relaxing vibe.,Positive
Entrance,4430,"Terrible and awful experience, would not go back.",Negative
Hall Rental,15269,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,8805,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,14409,"Standard amenities, fine experience for the price.",Neutral
Event,2034,Madumi yung area nung dumating kami.,Negative
Event,2689,"Terrible and awful experience, would not go back.",Negative
Event,9206,Rude staff and very slow service at reception.,Negative
Entrance,3209,Rude staff and very slow service at reception.,Negative
Hall Rental,3680,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,8204,"It was an okay stay, average service overall.",Neutral
Room,2880,"Disappointing stay, a total waste of money.",Negative
Hall Rental,8610,"The room was decent and normal, nothing special.",Neutral
Entrance,8201,"It was an okay stay, average service overall.",Neutral
Event,9054,The facilities are fine but could be better.,Neutral
Hall Rental,6623,"Terrible and awful experience, would not go back.",Negative
Hall Rental,27112,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,24817,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,7422,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,8264,Good location but service was just standard.,Neutral
Event,8363,Rude staff and very slow service at reception.,Negative
Hall Rental,3537,"Disappointing stay, a total waste of money.",Negative
Event,10010,The facilities are fine but could be better.,Neutral
Room,15281,"Everything was superb, clean, and well-maintained.",Positive
Room,5165,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,24739,Great value for money and a relaxing vibe.,Positive
Room,5270,The water was cloudy and the area was messy.,Negative
Room,15225,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,4786,Rude staff and very slow service at reception.,Negative
Hall Rental,16733,"It was an okay stay, average service overall.",Neutral
Entrance,19349,"Beautiful view and very friendly, helpful staff.",Positive
Event,20088,"Everything was superb, clean, and well-maintained.",Positive
Reservation,24916,Sulit na sulit ang booking namin.,Positive
Reservation,15183,The facilities are fine but could be better.,Neutral
Entrance,15186,"Standard amenities, fine experience for the price.",Neutral
Event,9577,"It was an okay stay, average service overall.",Neutral
Reservation,21980,"Beautiful view and very friendly, helpful staff.",Positive
Room,25320,"Beautiful view and very friendly, helpful staff.",Positive
Event,18579,The service was perfect and absolutely amazing.,Positive
Entrance,2105,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,7087,The water was cloudy and the area was messy.,Negative
Entrance,7739,The water was cloudy and the area was messy.,Negative
Entrance,25093,"Beautiful view and very friendly, helpful staff.",Positive
Event,6825,"Disappointing stay, a total waste of money.",Negative
Room,6823,"Terrible and awful experience, would not go back.",Negative
Event,21776,Mabait at magalang ang mga staff dito.,Positive
Room,15833,"Standard amenities, fine experience for the price.",Neutral
Event,15504,Mabait at magalang ang mga staff dito.,Positive
Entrance,27504,The service was perfect and absolutely amazing.,Positive
Reservation,10415,The facilities are fine but could be better.,Neutral
Hall Rental,5367,The water was cloudy and the area was messy.,Negative
Reservation,10765,"Standard amenities, fine experience for the price.",Neutral
Reservation,10158,"The room was decent and normal, nothing special.",Neutral
Reservation,22694,Sulit na sulit ang booking namin.,Positive
Hall Rental,9779,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,12595,"The room was decent and normal, nothing special.",Neutral
Room,28489,Walang kupas ang ganda ng pool area.,Positive
Room,4545,"Disappointing stay, a total waste of money.",Negative
Hall Rental,2896,Rude staff and very slow service at reception.,Negative
Event,14838,Good location but service was just standard.,Neutral
Hall Rental,10307,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,3590,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,14837,"It was an okay stay, average service overall.",Neutral
Room,28877,"Everything was superb, clean, and well-maintained.",Positive
Reservation,3926,Rude staff and very slow service at reception.,Negative
Reservation,20105,"Excellent facility, highly recommend to everyone!",Positive
Event,5956,Madumi yung area nung dumating kami.,Negative
Hall Rental,4694,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,20116,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,17579,"The room was decent and normal, nothing special.",Neutral
Event,5332,Madumi yung area nung dumating kami.,Negative
Reservation,14155,"Standard amenities, fine experience for the price.",Neutral
Reservation,18099,The service was perfect and absolutely amazing.,Positive
Room,17528,"The room was decent and normal, nothing special.",Neutral
Event,15236,Walang kupas ang ganda ng pool area.,Positive
Event,28337,The service was perfect and absolutely amazing.,Positive
Reservation,9131,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,15418,Good location but service was just standard.,Neutral
Entrance,10014,The facilities are fine but could be better.,Neutral
Event,17713,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,7354,Rude staff and very slow service at reception.,Negative
Hall Rental,8946,Medyo okay naman ang experience namin.,Neutral
Entrance,11164,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,25015,Walang kupas ang ganda ng pool area.,Positive
Reservation,17428,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,8645,Good location but service was just standard.,Neutral
Hall Rental,12571,"It was an okay stay, average service overall.",Neutral
Entrance,7516,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,4129,"Disappointing stay, a total waste of money.",Negative
Hall Rental,8160,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,16095,"The room was decent and normal, nothing special.",Neutral
Event,9991,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,20588,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,26722,Mabait at magalang ang mga staff dito.,Positive
Room,10120,Medyo okay naman ang experience namin.,Neutral
Hall Rental,15145,The service was perfect and absolutely amazing.,Positive
Hall Rental,4568,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,26310,Great value for money and a relaxing vibe.,Positive
Entrance,14309,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,20977,"Excellent facility, highly recommend to everyone!",Positive
Event,9354,"Terrible and awful experience, would not go back.",Negative
Room,4775,"Disappointing stay, a total waste of money.",Negative
Hall Rental,15504,"The room was decent and normal, nothing special.",Neutral
Event,16687,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,13546,"Standard amenities, fine experience for the price.",Neutral
Reservation,2250,Madumi yung area nung dumating kami.,Negative
Event,23175,Great value for money and a relaxing vibe.,Positive
Room,21016,Sulit na sulit ang booking namin.,Positive
Reservation,16682,"The room was decent and normal, nothing special.",Neutral
Room,21136,Great value for money and a relaxing vibe.,Positive
Entrance,11856,"It was an okay stay, average service overall.",Neutral
Hall Rental,17143,"Beautiful view and very friendly, helpful staff.",Positive
Room,8468,Madumi yung area nung dumating kami.,Negative
Hall Rental,16301,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,17048,Mabait at magalang ang mga staff dito.,Positive
Room,29056,"Everything was superb, clean, and well-maintained.",Positive
Room,8403,Madumi yung area nung dumating kami.,Negative
Entrance,9459,Madumi yung area nung dumating kami.,Negative
Room,4705,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,19805,"Beautiful view and very friendly, helpful staff.",Positive
Room,18930,Walang kupas ang ganda ng pool area.,Positive
Room,9482,Madumi yung area nung dumating kami.,Negative
Reservation,8040,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,9447,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,15587,"It was an okay stay, average service overall.",Neutral
Room,22989,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,15927,The facilities are fine but could be better.,Neutral
Event,5406,"Terrible and awful experience, would not go back.",Negative
Entrance,21938,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,14801,The facilities are fine but could be better.,Neutral
Room,13316,"Standard amenities, fine experience for the price.",Neutral
Reservation,10424,"The room was decent and normal, nothing special.",Neutral
Room,21544,The service was perfect and absolutely amazing.,Positive
Room,12538,The facilities are fine but could be better.,Neutral
Reservation,15851,"The room was decent and normal, nothing special.",Neutral
Entrance,8159,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,15206,The service was perfect and absolutely amazing.,Positive
Event,11453,Good location but service was just standard.,Neutral
Reservation,8464,"Standard amenities, fine experience for the price.",Neutral
Event,23980,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,2264,"Dirty rooms, broken aircon, and bad smell.",Negative
